,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.6,0.0,5.2
gp,RANDOM_VALUE,34.4,2.8,10.4
ld,FLIP_SINGLE_BIT,2.0,0.0,0.8
ld,RANDOM_VALUE,31.6,1.6,4.0
fp32,FLIP_SINGLE_BIT,5.6,0.8,0.0
fp32,RANDOM_VALUE,42.4,1.6,0.0
fp32,WARP_RANDOM_VALUE,79.6,2.4,0.0
