,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,0.0,6.4
gp,RANDOM_VALUE,34.4,2.4,6.0
ld,FLIP_SINGLE_BIT,3.6,0.0,0.0
ld,RANDOM_VALUE,43.6,3.2,0.0
fp32,FLIP_SINGLE_BIT,4.8,0.0,0.0
fp32,RANDOM_VALUE,41.6,1.6,0.0
fp32,WARP_RANDOM_VALUE,76.0,2.8,0.0
