,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,5.6,0.4,2.4
gp,RANDOM_VALUE,42.4,2.0,6.8
ld,FLIP_SINGLE_BIT,4.4,0.0,2.4
ld,RANDOM_VALUE,36.0,2.4,4.0
fp32,FLIP_SINGLE_BIT,5.6,0.0,0.4
fp32,RANDOM_VALUE,52.0,0.8,0.0
fp32,WARP_RANDOM_VALUE,80.8,2.8,0.0
