,,crashes
fp32,FLIP_SINGLE_BIT,6
fp32,RANDOM_VALUE,4
fp32,WARP_RANDOM_VALUE,4
gp,FLIP_SINGLE_BIT,8
gp,RANDOM_VALUE,6
ld,FLIP_SINGLE_BIT,16
ld,RANDOM_VALUE,16
