,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,0.4,2.4
gp,RANDOM_VALUE,40.4,2.0,6.8
ld,FLIP_SINGLE_BIT,4.4,0.0,2.4
ld,RANDOM_VALUE,33.6,2.4,4.0
fp32,FLIP_SINGLE_BIT,5.6,0.0,0.4
fp32,RANDOM_VALUE,51.2,0.8,0.0
fp32,WARP_RANDOM_VALUE,78.0,2.8,0.0
