,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,8.0,0.4,7.2
gp,RANDOM_VALUE,43.2,4.0,6.0
ld,FLIP_SINGLE_BIT,5.2,0.0,0.0
ld,RANDOM_VALUE,39.2,6.0,0.0
fp32,FLIP_SINGLE_BIT,6.8,0.4,0.0
fp32,RANDOM_VALUE,48.8,4.8,0.0
fp32,WARP_RANDOM_VALUE,82.0,4.0,0.0
