,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.4,0.4,7.2
gp,RANDOM_VALUE,47.2,4.0,6.0
ld,FLIP_SINGLE_BIT,5.2,0.0,0.0
ld,RANDOM_VALUE,45.2,6.0,0.0
fp32,FLIP_SINGLE_BIT,7.2,0.4,0.0
fp32,RANDOM_VALUE,53.6,4.8,0.0
fp32,WARP_RANDOM_VALUE,86.0,4.0,0.0
