Model,SDC,Critical SDC,DUE
BS32-224-u,35.714285714285715,7.771428571428572,1.7142857142857142
BS32-224-h,42.17142857142858,3.5428571428571436,2.2857142857142856
B16-224-u,35.2,7.428571428571429,1.9428571428571428
B16-224-h,36.857142857142854,3.2571428571428576,2.5714285714285716
B16-384-u,30.514285714285712,9.085714285714285,1.4857142857142858
B16-384-h,35.82857142857143,3.542857142857143,2.0
L14-224-u,29.2,6.114285714285714,1.2571428571428573
L14-224-h,33.371428571428574,2.2285714285714286,1.4857142857142858
EVA S14-448-u,18.400000000000002,23.085714285714285,3.7714285714285714
EVA B14-448-u,18.342857142857145,15.714285714285714,2.742857142857143
EVA L14-448-u,17.02857142857143,15.200000000000001,2.0
SwinB-256-u,34.228571428571435,2.5142857142857147,4.8
SwinB-384-u,24.457142857142856,2.6285714285714286,4.171428571428572
SwinL-256-u,32.4,2.1714285714285713,2.8000000000000003
SwinL-384-u,,,
