,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,7.2,1.2,6.4
gp,RANDOM_VALUE,26.0,0.4,10.4
ld,FLIP_SINGLE_BIT,2.8,1.6,4.4
ld,RANDOM_VALUE,28.8,0.4,4.8
fp32,FLIP_SINGLE_BIT,6.0,0.8,0.0
fp32,RANDOM_VALUE,35.6,2.0,0.0
fp32,WARP_RANDOM_VALUE,59.6,4.8,0.0
