,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.4,1.2,6.4
gp,RANDOM_VALUE,26.4,0.4,10.4
ld,FLIP_SINGLE_BIT,4.4,1.6,4.0
ld,RANDOM_VALUE,29.2,0.4,4.8
fp32,FLIP_SINGLE_BIT,6.8,0.8,0.0
fp32,RANDOM_VALUE,37.6,2.0,0.0
fp32,WARP_RANDOM_VALUE,64.4,4.8,0.0
