,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,21.2,0.8,5.6
gp,RANDOM_VALUE,58.4,10.0,6.0
ld,FLIP_SINGLE_BIT,11.6,1.6,0.0
ld,RANDOM_VALUE,46.4,13.6,0.4
fp32,FLIP_SINGLE_BIT,11.2,0.8,0.0
fp32,RANDOM_VALUE,64.0,10.8,0.0
fp32,WARP_RANDOM_VALUE,91.6,16.8,0.0
