,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,20.4,0.8,5.6
gp,RANDOM_VALUE,48.4,10.0,6.0
ld,FLIP_SINGLE_BIT,10.0,1.6,0.0
ld,RANDOM_VALUE,32.8,13.6,0.4
fp32,FLIP_SINGLE_BIT,10.4,0.8,0.0
fp32,RANDOM_VALUE,53.2,10.8,0.0
fp32,WARP_RANDOM_VALUE,74.8,16.8,0.0
