,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.4,0.0,4.0
gp,RANDOM_VALUE,46.0,2.0,5.2
ld,FLIP_SINGLE_BIT,4.0,0.4,0.0
ld,RANDOM_VALUE,48.8,2.0,0.0
fp32,FLIP_SINGLE_BIT,6.4,0.4,0.0
fp32,RANDOM_VALUE,52.8,4.4,0.0
fp32,WARP_RANDOM_VALUE,87.2,3.2,0.0
