,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,8.4,0.0,4.0
gp,RANDOM_VALUE,44.0,2.0,5.2
ld,FLIP_SINGLE_BIT,3.6,0.4,0.0
ld,RANDOM_VALUE,46.8,2.0,0.0
fp32,FLIP_SINGLE_BIT,6.0,0.4,0.0
fp32,RANDOM_VALUE,48.4,4.4,0.0
fp32,WARP_RANDOM_VALUE,84.0,3.2,0.0
