,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,2.8,0.8,4.8
gp,RANDOM_VALUE,10.0,18.8,12.4
ld,FLIP_SINGLE_BIT,1.2,1.6,0.0
ld,RANDOM_VALUE,10.0,24.8,0.4
fp32,FLIP_SINGLE_BIT,1.6,3.2,0.0
fp32,RANDOM_VALUE,10.8,24.0,0.0
fp32,WARP_RANDOM_VALUE,18.0,49.2,0.0
