,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,12.0,0.0,7.2
gp,RANDOM_VALUE,46.4,2.8,6.8
ld,FLIP_SINGLE_BIT,4.4,0.0,0.0
ld,RANDOM_VALUE,41.2,10.0,0.0
fp32,FLIP_SINGLE_BIT,12.8,0.4,0.0
fp32,RANDOM_VALUE,50.4,3.6,0.0
fp32,WARP_RANDOM_VALUE,83.6,8.0,0.0
