,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,4.0,0.4,2.8
gp,RANDOM_VALUE,36.0,2.4,4.4
ld,FLIP_SINGLE_BIT,3.2,0.4,0.0
ld,RANDOM_VALUE,40.8,3.2,0.4
fp32,FLIP_SINGLE_BIT,3.6,0.4,0.0
fp32,RANDOM_VALUE,36.4,2.0,0.0
fp32,WARP_RANDOM_VALUE,58.8,3.2,0.0
