,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,3.6,0.4,2.8
gp,RANDOM_VALUE,33.6,2.4,4.4
ld,FLIP_SINGLE_BIT,2.8,0.4,0.0
ld,RANDOM_VALUE,37.6,3.2,0.4
fp32,FLIP_SINGLE_BIT,3.2,0.4,0.0
fp32,RANDOM_VALUE,34.4,2.0,0.0
fp32,WARP_RANDOM_VALUE,55.6,3.2,0.0
