,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,9.2,0.4,5.2
gp,RANDOM_VALUE,34.0,3.6,9.6
ld,FLIP_SINGLE_BIT,3.6,0.8,3.6
ld,RANDOM_VALUE,28.8,2.4,2.8
fp32,FLIP_SINGLE_BIT,8.8,0.8,0.0
fp32,RANDOM_VALUE,48.8,4.4,0.0
fp32,WARP_RANDOM_VALUE,73.2,6.8,0.0
