,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,9.6,0.4,5.2
gp,RANDOM_VALUE,37.6,3.6,9.6
ld,FLIP_SINGLE_BIT,4.4,0.8,3.2
ld,RANDOM_VALUE,31.2,2.4,2.4
fp32,FLIP_SINGLE_BIT,9.6,0.8,0.0
fp32,RANDOM_VALUE,53.2,4.4,0.0
fp32,WARP_RANDOM_VALUE,80.0,6.8,0.0
