,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,14.8,1.2,3.2
gp,RANDOM_VALUE,51.2,9.2,6.0
ld,FLIP_SINGLE_BIT,7.2,0.0,0.0
ld,RANDOM_VALUE,49.6,10.4,0.0
fp32,FLIP_SINGLE_BIT,13.6,0.8,0.0
fp32,RANDOM_VALUE,54.4,6.0,0.0
fp32,WARP_RANDOM_VALUE,84.4,14.4,0.0
