,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,14.8,0.8,8.0
gp,RANDOM_VALUE,34.8,3.2,24.0
ld,FLIP_SINGLE_BIT,6.4,0.8,0.0
ld,RANDOM_VALUE,48.4,2.8,0.8
fp32,FLIP_SINGLE_BIT,14.8,0.0,0.0
fp32,RANDOM_VALUE,55.2,2.4,0.0
fp32,WARP_RANDOM_VALUE,82.8,7.6,0.0
