,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.4,0.8,89.6
gp,RANDOM_VALUE,53.6,8.4,46.0
ld,FLIP_SINGLE_BIT,8.0,1.6,89.2
ld,RANDOM_VALUE,45.2,10.8,53.2
fp32,FLIP_SINGLE_BIT,17.6,0.8,82.0
fp32,RANDOM_VALUE,60.8,10.8,38.8
fp32,WARP_RANDOM_VALUE,84.8,16.4,15.2
