,,crashes
fp32,FLIP_SINGLE_BIT,2
fp32,RANDOM_VALUE,2
fp32,WARP_RANDOM_VALUE,2
gp,FLIP_SINGLE_BIT,4
gp,RANDOM_VALUE,0
ld,FLIP_SINGLE_BIT,18
ld,RANDOM_VALUE,24
