,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.8,0.4,2.4
gp,RANDOM_VALUE,50.8,10.8,5.6
ld,FLIP_SINGLE_BIT,6.4,0.0,5.2
ld,RANDOM_VALUE,33.2,7.6,4.0
fp32,FLIP_SINGLE_BIT,13.6,0.8,0.0
fp32,RANDOM_VALUE,59.2,9.6,0.0
fp32,WARP_RANDOM_VALUE,88.8,15.6,0.0
