,,Output error,Classification error,Other error
fp32,FLIP_SINGLE_BIT,7.0,0.0,0.0
fp32,FLIP_TWO_BITS,13.0,1.0,0.0
fp32,RANDOM_VALUE,45.0,17.0,0.0
fp32,ZERO_VALUE,15.0,0.0,0.0
gp,FLIP_SINGLE_BIT,16.0,3.0,1.0
gp,FLIP_TWO_BITS,7.0,1.0,2.0
gp,RANDOM_VALUE,41.0,5.0,4.0
gp,ZERO_VALUE,14.0,0.0,4.0
