,,crashes
fp32,FLIP_SINGLE_BIT,0
fp32,FLIP_TWO_BITS,0
fp32,RANDOM_VALUE,0
fp32,ZERO_VALUE,0
gp,FLIP_SINGLE_BIT,0
gp,FLIP_TWO_BITS,0
gp,RANDOM_VALUE,0
gp,ZERO_VALUE,0
