,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,10.8,1.2,3.6
gp,RANDOM_VALUE,47.6,4.0,5.2
ld,FLIP_SINGLE_BIT,4.8,0.4,2.8
ld,RANDOM_VALUE,20.0,6.8,2.8
fp32,FLIP_SINGLE_BIT,11.6,1.6,0.0
fp32,RANDOM_VALUE,50.0,12.0,0.0
fp32,WARP_RANDOM_VALUE,74.0,13.6,0.0
