,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,11.2,0.0,4.4
gp,RANDOM_VALUE,38.8,1.6,4.4
ld,FLIP_SINGLE_BIT,2.4,0.0,2.0
ld,RANDOM_VALUE,30.0,2.8,2.0
fp32,FLIP_SINGLE_BIT,5.6,0.0,0.0
fp32,RANDOM_VALUE,46.4,3.6,0.0
fp32,WARP_RANDOM_VALUE,76.0,3.6,0.0
