,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,9.6,1.2,8.8
gp,RANDOM_VALUE,30.0,1.6,14.4
ld,FLIP_SINGLE_BIT,6.0,0.4,0.0
ld,RANDOM_VALUE,41.6,2.4,0.4
fp32,FLIP_SINGLE_BIT,6.4,1.6,0.0
fp32,RANDOM_VALUE,39.2,0.8,0.0
fp32,WARP_RANDOM_VALUE,68.8,4.0,0.0
