,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.4,1.2,4.8
gp,RANDOM_VALUE,46.8,9.2,3.6
ld,FLIP_SINGLE_BIT,5.2,1.2,0.0
ld,RANDOM_VALUE,49.2,13.6,0.0
fp32,FLIP_SINGLE_BIT,11.6,1.2,0.0
fp32,RANDOM_VALUE,51.2,8.4,0.0
fp32,WARP_RANDOM_VALUE,88.4,24.8,0.0
