,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,7.2,1.2,4.8
gp,RANDOM_VALUE,37.6,9.2,3.6
ld,FLIP_SINGLE_BIT,4.0,1.2,0.0
ld,RANDOM_VALUE,35.6,13.6,0.0
fp32,FLIP_SINGLE_BIT,10.4,1.2,0.0
fp32,RANDOM_VALUE,42.8,8.4,0.0
fp32,WARP_RANDOM_VALUE,63.6,24.8,0.0
