,,crashes
fp32,FLIP_SINGLE_BIT,2
fp32,RANDOM_VALUE,0
fp32,WARP_RANDOM_VALUE,4
gp,FLIP_SINGLE_BIT,0
gp,RANDOM_VALUE,2
ld,FLIP_SINGLE_BIT,10
ld,RANDOM_VALUE,6
