,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.8,0.0,9.2
gp,RANDOM_VALUE,39.6,2.4,18.0
ld,FLIP_SINGLE_BIT,5.2,0.4,0.4
ld,RANDOM_VALUE,45.2,4.0,0.0
fp32,FLIP_SINGLE_BIT,12.8,0.8,0.0
fp32,RANDOM_VALUE,53.2,4.8,0.0
fp32,WARP_RANDOM_VALUE,83.6,4.0,0.0
