,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,10.8,0.0,9.2
gp,RANDOM_VALUE,37.2,2.4,18.0
ld,FLIP_SINGLE_BIT,4.8,0.4,0.4
ld,RANDOM_VALUE,41.2,4.0,0.0
fp32,FLIP_SINGLE_BIT,12.0,0.8,0.0
fp32,RANDOM_VALUE,48.4,4.8,0.0
fp32,WARP_RANDOM_VALUE,79.6,4.0,0.0
