,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,20.4,0.4,5.2
gp,RANDOM_VALUE,58.4,6.0,10.0
ld,FLIP_SINGLE_BIT,8.8,0.4,0.0
ld,RANDOM_VALUE,56.4,6.4,0.8
fp32,FLIP_SINGLE_BIT,18.8,0.0,0.0
fp32,RANDOM_VALUE,65.2,4.0,0.0
fp32,WARP_RANDOM_VALUE,92.0,7.6,0.0
