,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,10.0,1.2,4.0
gp,RANDOM_VALUE,28.4,1.6,7.6
ld,FLIP_SINGLE_BIT,6.4,0.8,3.2
ld,RANDOM_VALUE,32.8,1.6,2.4
fp32,FLIP_SINGLE_BIT,4.0,1.6,0.0
fp32,RANDOM_VALUE,34.4,4.0,0.0
fp32,WARP_RANDOM_VALUE,69.6,5.2,0.0
