,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,6.0,0.8,2.4
gp,RANDOM_VALUE,28.8,9.6,2.4
ld,FLIP_SINGLE_BIT,6.0,0.4,2.8
ld,RANDOM_VALUE,28.8,4.4,2.0
fp32,FLIP_SINGLE_BIT,5.2,0.4,0.0
fp32,RANDOM_VALUE,34.4,10.0,0.0
fp32,WARP_RANDOM_VALUE,62.0,14.8,0.4
