,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,6.8,0.8,2.4
gp,RANDOM_VALUE,38.4,9.6,2.4
ld,FLIP_SINGLE_BIT,6.4,0.4,2.8
ld,RANDOM_VALUE,33.2,4.4,2.0
fp32,FLIP_SINGLE_BIT,5.6,0.4,0.0
fp32,RANDOM_VALUE,44.4,10.0,0.0
fp32,WARP_RANDOM_VALUE,76.8,14.8,0.4
