,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,8.0,0.8,2.8
gp,RANDOM_VALUE,43.2,8.4,6.0
ld,FLIP_SINGLE_BIT,3.2,0.8,0.0
ld,RANDOM_VALUE,32.0,11.6,0.0
fp32,FLIP_SINGLE_BIT,6.0,0.8,0.0
fp32,RANDOM_VALUE,42.4,7.2,0.0
fp32,WARP_RANDOM_VALUE,69.6,13.2,0.0
