,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,41.6,1.6,4.4
gp,RANDOM_VALUE,66.0,5.6,5.2
ld,FLIP_SINGLE_BIT,41.2,0.0,0.0
ld,RANDOM_VALUE,66.0,10.0,0.0
fp32,FLIP_SINGLE_BIT,32.0,0.8,0.0
fp32,RANDOM_VALUE,63.6,8.8,0.0
fp32,WARP_RANDOM_VALUE,82.4,12.0,0.0
