,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,15.6,0.4,5.2
gp,RANDOM_VALUE,55.6,3.6,6.8
ld,FLIP_SINGLE_BIT,6.8,0.0,0.0
ld,RANDOM_VALUE,47.2,5.6,0.4
fp32,FLIP_SINGLE_BIT,16.4,0.0,0.0
fp32,RANDOM_VALUE,64.8,1.6,0.0
fp32,WARP_RANDOM_VALUE,93.6,8.8,0.0
