,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,13.2,1.6,4.4
gp,RANDOM_VALUE,40.4,10.8,6.0
ld,FLIP_SINGLE_BIT,4.0,1.2,0.0
ld,RANDOM_VALUE,32.4,15.2,0.0
fp32,FLIP_SINGLE_BIT,11.6,0.8,0.0
fp32,RANDOM_VALUE,44.4,10.8,0.0
fp32,WARP_RANDOM_VALUE,67.6,23.2,0.0
