,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,14.0,0.4,3.6
gp,RANDOM_VALUE,48.8,8.0,6.4
ld,FLIP_SINGLE_BIT,4.8,1.6,0.0
ld,RANDOM_VALUE,44.8,8.8,0.0
fp32,FLIP_SINGLE_BIT,12.0,1.6,0.0
fp32,RANDOM_VALUE,52.8,7.6,0.0
fp32,WARP_RANDOM_VALUE,84.4,21.2,0.0
