,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,14.4,2.8,8.4
gp,RANDOM_VALUE,47.6,25.6,18.0
ld,FLIP_SINGLE_BIT,7.6,3.6,0.0
ld,RANDOM_VALUE,50.0,34.0,0.0
fp32,FLIP_SINGLE_BIT,13.2,2.4,0.0
fp32,RANDOM_VALUE,65.2,35.6,0.0
fp32,WARP_RANDOM_VALUE,92.4,57.6,0.0
