,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,5.2,0.0,3.2
gp,RANDOM_VALUE,41.6,2.4,5.2
ld,FLIP_SINGLE_BIT,4.4,0.0,0.8
ld,RANDOM_VALUE,38.0,2.4,2.4
fp32,FLIP_SINGLE_BIT,5.6,0.0,0.8
fp32,RANDOM_VALUE,44.8,4.0,0.0
fp32,WARP_RANDOM_VALUE,80.4,3.6,0.0
