,,crashes
fp32,FLIP_SINGLE_BIT,0
fp32,RANDOM_VALUE,0
fp32,WARP_RANDOM_VALUE,0
gp,FLIP_SINGLE_BIT,6
gp,RANDOM_VALUE,9
ld,FLIP_SINGLE_BIT,26
ld,RANDOM_VALUE,20
