,,crashes
fp32,FLIP_SINGLE_BIT,2
fp32,RANDOM_VALUE,2
fp32,WARP_RANDOM_VALUE,4
gp,FLIP_SINGLE_BIT,6
gp,RANDOM_VALUE,8
ld,FLIP_SINGLE_BIT,4
ld,RANDOM_VALUE,4
