,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,8.4,0.4,8.8
gp,RANDOM_VALUE,37.2,2.0,11.2
ld,FLIP_SINGLE_BIT,4.8,0.4,0.0
ld,RANDOM_VALUE,47.6,2.8,0.0
fp32,FLIP_SINGLE_BIT,4.8,0.4,0.0
fp32,RANDOM_VALUE,43.2,2.0,0.0
fp32,WARP_RANDOM_VALUE,85.6,5.2,0.0
