,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,15.2,0.4,6.8
gp,RANDOM_VALUE,49.2,6.4,8.4
ld,FLIP_SINGLE_BIT,8.4,1.2,0.0
ld,RANDOM_VALUE,52.8,8.4,0.0
fp32,FLIP_SINGLE_BIT,10.4,1.6,0.0
fp32,RANDOM_VALUE,60.4,12.0,0.0
fp32,WARP_RANDOM_VALUE,84.8,12.0,0.0
