,,SDC,Critical SDC,DUE
gp,FLIP_SINGLE_BIT,3.6,0.8,8.0
gp,RANDOM_VALUE,20.4,7.6,14.8
ld,FLIP_SINGLE_BIT,1.6,1.2,0.8
ld,RANDOM_VALUE,23.2,14.8,0.4
fp32,FLIP_SINGLE_BIT,6.4,0.0,0.0
fp32,RANDOM_VALUE,23.6,8.4,0.0
fp32,WARP_RANDOM_VALUE,42.8,26.8,0.0
