,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,6.8,0.8,7.6
gp,RANDOM_VALUE,27.2,2.0,13.2
ld,FLIP_SINGLE_BIT,4.8,1.2,1.6
ld,RANDOM_VALUE,28.0,0.8,2.4
fp32,FLIP_SINGLE_BIT,4.8,0.4,0.0
fp32,RANDOM_VALUE,37.6,3.6,0.0
fp32,WARP_RANDOM_VALUE,63.2,2.4,0.0
