,,Output error,Classification error,Other error
gp,FLIP_SINGLE_BIT,11.2,0.0,6.8
gp,RANDOM_VALUE,49.6,6.4,7.2
ld,FLIP_SINGLE_BIT,8.4,0.0,0.0
ld,RANDOM_VALUE,44.4,10.4,0.0
fp32,FLIP_SINGLE_BIT,16.0,0.4,0.0
fp32,RANDOM_VALUE,53.6,5.2,0.0
fp32,WARP_RANDOM_VALUE,89.6,7.2,0.0
